60 	 60 	 12000 	 12 == 12 	 0.000000 	 4 	 580 	 7 	 0.696500 
120 	 60 	 12000 	 549 == 549 	 9.000000 	 346 	 11009 	 348 	 66.810465 
180 	 60 	 12000 	 2446 == 2446 	 40.000000 	 2071 	 31613 	 2073 	 114.111007 
240 	 60 	 12000 	 5333 == 5333 	 88.000000 	 4838 	 29752 	 4925 	 126.518387 
287 	 47 	 12000 	 12000 == 12000 	 255.000000 	 8406 	 42173 	 11690 	 67.025323 
336 	 49 	 12000 	 12000 == 12000 	 244.000000 	 7015 	 157875 	 11691 	 77.366204 
396 	 60 	 12000 	 11796 == 11796 	 196.000000 	 6718 	 114964 	 11481 	 73.121405 
425 	 29 	 12000 	 12000 == 12000 	 413.000000 	 6134 	 56875 	 11723 	 70.998158 
465 	 40 	 12000 	 12000 == 12000 	 300.000000 	 6353 	 109432 	 11708 	 74.598257 
516 	 51 	 12000 	 12000 == 12000 	 235.000000 	 6232 	 247165 	 11722 	 64.899985 
577 	 60 	 12000 	 11834 == 11834 	 197.000000 	 6344 	 469420 	 11531 	 69.268608 
618 	 41 	 12000 	 12000 == 12000 	 292.000000 	 6245 	 418105 	 11705 	 71.654093 
668 	 49 	 12000 	 12000 == 12000 	 244.000000 	 6463 	 613103 	 11730 	 65.736311 
721 	 53 	 12000 	 12000 == 12000 	 226.000000 	 6672 	 1508790 	 11706 	 69.960231 
778 	 57 	 12000 	 12000 == 12000 	 210.000000 	 6685 	 2940904 	 11726 	 59.890276 
838 	 60 	 12000 	 11211 == 11211 	 186.000000 	 6386 	 5076881 	 10952 	 66.972257 
882 	 44 	 12000 	 12000 == 12000 	 272.000000 	 6573 	 1221627175 	 11729 	 33.689322 
942 	 60 	 12000 	 10772 == 10772 	 179.000000 	 6210 	 147615774 	 10528 	 50.354083 
988 	 46 	 12000 	 12000 == 12000 	 260.000000 	 6670 	 1464513097 	 11726 	 39.915174 
1040 	 52 	 12000 	 12000 == 12000 	 230.000000 	 6849 	 2770499606 	 11757 	 35.667879 
1100 	 60 	 12000 	 11962 == 11962 	 199.000000 	 6659 	 6501854624 	 11731 	 29.704119 
1153 	 53 	 12000 	 12000 == 12000 	 226.000000 	 6690 	 2893909707 	 11760 	 29.596713 
1213 	 60 	 12000 	 11253 == 11253 	 187.000000 	 6390 	 4866911871 	 11012 	 32.919729 
1264 	 51 	 12000 	 12000 == 12000 	 235.000000 	 6873 	 2070874935 	 11749 	 36.519590 
1321 	 57 	 12000 	 12000 == 12000 	 210.000000 	 6824 	 5082844589 	 11748 	 33.775291 
1380 	 58 	 12000 	 12000 == 12000 	 206.000000 	 6871 	 9645802980 	 11761 	 30.302555 
1438 	 58 	 12000 	 12000 == 12000 	 206.000000 	 7172 	 19728362825 	 11791 	 16.604382 
1499 	 60 	 12000 	 11338 == 11338 	 188.000000 	 6516 	 23050552465 	 11139 	 24.426941 
1557 	 58 	 12000 	 12000 == 12000 	 206.000000 	 6731 	 8205561169 	 11763 	 27.036689 
1616 	 59 	 12000 	 12000 == 12000 	 203.000000 	 6787 	 17445299542 	 11786 	 18.461919 
1676 	 60 	 12000 	 10259 == 10259 	 170.000000 	 6123 	 19590800899 	 10062 	 15.334602 
1735 	 59 	 12000 	 12000 == 12000 	 203.000000 	 6736 	 19177038371 	 11786 	 24.327536 
1795 	 60 	 12000 	 8060 == 8060 	 134.000000 	 4972 	 814866565 	 7872 	 39.530917 
1854 	 59 	 12000 	 12000 == 12000 	 203.000000 	 6926 	 11076725193 	 11778 	 18.630076 
1912 	 58 	 12000 	 12000 == 12000 	 206.000000 	 6976 	 25376153876 	 11796 	 18.914297 
1971 	 59 	 12000 	 12000 == 12000 	 203.000000 	 7027 	 23056151833 	 11794 	 19.866146 
2030 	 59 	 12000 	 12000 == 12000 	 203.000000 	 7205 	 18899844239 	 11806 	 13.795713 
2091 	 60 	 12000 	 8225 == 8225 	 137.000000 	 5032 	 1107730632 	 8023 	 23.021730 
2151 	 60 	 12000 	 8521 == 8521 	 142.000000 	 5065 	 499835317 	 8313 	 17.570941 
